Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional,
1,CJ Abrams,21.187,Apr 8,,64/H9D,SDP,0.1,6-2,185,L,R,Oct 3 2000,Alpharetta GA US,Drafted by the San Diego Padres in the 1st round (6th pick) of the 2019 amateur draft. Player signed June 10 2019.,,Blessed Trinity Catholic HS (Roswell GA),Paul Christopher,abramcj01,
2,Ryan Aguilar,27.349,Aug 26,,/9738,LAA,-0.3,6-2,168,L,L,Sep 11 1994,Yorba Linda CA US,Drafted by the Milwaukee Brewers in the 31st round of the 2016 amateur draft. Player signed July 8 2016.,University of Arizona (Tucson AZ),Esperanza HS (Anaheim CA),Ryan Scott,aguilry01,
3,Jason Alexander,29.092,Jun 1,,1,MIL,-0.9,6-3,200,R,R,Mar 1 1993,Windsor CA US,Signed as a Free Agent with the Los Angeles Angels in 2017.,California State University Long Beach (Long Beach CA) Menlo College (Atherton CA),Cardinal Newman HS (Santa Rosa CA),Jason Raymond,alexaja01,
3,Scott Alexander,29.092,Jun 1,,1,MIL,-0.9,6-3,200,R,R,Mar 1 1993,Windsor CA US,Signed as a Free Agent with the Los Angeles Angels in 2017.,California State University Long Beach (Long Beach CA) Menlo College (Atherton CA),Cardinal Newman HS (Santa Rosa CA),Scott Alexander,alexasc02,
4,Cam Alldred,25.291,May 12,,/1,PIT,0.0,6-3,205,L,L,Jul 25 1996,Batavia OH US,Drafted by the Pittsburgh Pirates in the 24th round of the 2018 amateur draft. Player signed June 12 2018.,University of Cincinnati (Cincinnati OH),,Cameron Mitchell,alldrca01,
5,Nick Allen,23.193,Apr 19,,64/H,OAK,1.0,5-8,166,R,R,Oct 8 1998,San Diego CA US,Drafted by the Oakland Athletics in the 3rd round of the 2017 amateur draft. Player signed June 30 2017.,,Francis Parker HS (San Diego CA),Nicholas Ryan,allenni02,
6,Francisco Álvarez,20.315,Sep 30,,/D2H,NYM,0.0,5-10,233,R,R,Nov 19 2001,Guatire Miranda VE,Signed as a Free Agent with the New York Mets in 2018.,,,Francisco Javier,alvarfr01,
7,Mark Appel,30.349,Jun 29,,/1,PHI,0.3,6-5,220,R,R,Jul 15 1991,Houston TX US,Drafted by the Houston Astros in the 1st round (1st pick) of the 2013 amateur draft. Player signed June 19 2013.,Stanford University (Palo Alto CA),Monte Vista HS (Danville CA),Mark Stewart,appelma01,
8,Jonathan Aranda,24.032,Jun 24,,43/H5D7,TBR,-0.2,5-10,210,L,R,May 23 1998,Tijuana Baja California MX,Signed as a Free Agent with the Tampa Bay Rays in 2015.,,,Jonathan Alexander,arandjo01,
9,Gabriel Arias,22.052,Apr 20,,/5463H,CLE,0.2,6-1,217,R,R,Feb 27 2000,La Victoria Aragua VE,Signed as a Free Agent with the San Diego Padres in 2016.,,,Gabriel Alejandro,ariasga01,
10,Graham Ashcraft,24.100,May 22,,1,CIN,1.1,6-2,240,L,R,Feb 11 1998,Huntsville AL US,Drafted by the Cincinnati Reds in the 6th round of the 2019 amateur draft. Player signed June 9 2019.,Mississippi State University (Mississippi State MS) University of Alabama at Birmingham (Birmingham AL),Huntsville HS (Huntsville AL),Douglas Graham,ashcrgr01,
11,Javier Assad,25.024,Aug 23,,/1,CHC,0.9,6-1,200,R,R,Jul 30 1997,Tijuana Baja California MX,Signed as a Free Agent with the Chicago Cubs in 2015.,,,Javier Eduardo,assadja01,
12,Jose Azocar,25.331,Apr 7,,98H7/D,SDP,0.1,5-11,181,R,R,May 11 1996,Guiria Sucre VE,Signed as a Free Agent with the Detroit Tigers in 2012.,,,Jose Enrique,azocajo01,
13,Ji Hwan Bae,23.059,Sep 23,,/847,PIT,0.5,6-1,185,L,R,Jul 26 1999,Daegu Daegu KR,Signed as a Free Agent with the Atlanta Braves in 2017.,,,Ji Hwan,baeji01,
14,Tanner Banks,30.168,Apr 10,,1,CHW,0.4,6-1,210,R,L,Oct 24 1991,Riverton UT US,Drafted by the Chicago White Sox in the 18th round of the 2014 amateur draft. Player signed June 10 2014.,Salt Lake Community College (Salt Lake City UT) University of Utah (Salt Lake City UT),,Tanner Pierce,banksta01,
15,Rylan Bannon,26.020,May 12,,/5D,BAL,-0.2,5-8,180,R,R,Apr 22 1996,Joliet IL US,Drafted by the Los Angeles Dodgers in the 8th round of the 2017 amateur draft. Player signed June 19 2017.,Xavier University (Cincinnati OH),,Rylan Thomas,bannory01,
16,Luke Barker,30.084,Jun 3,,/1,MIL,-0.1,6-3,230,R,R,Mar 11 1992,Chico CA US,Signed as a Free Agent with the Milwaukee Brewers in 2016.,California State University Chico (Chico CA),,Luke William,barkelu01,
17,Matthew Batten,27.008,Jun 30,,/5H4D17,SDP,-0.1,5-11,180,R,R,Jun 22 1995,Shelton CT US,Drafted by the San Diego Padres in the 32nd round of the 2017 amateur draft. Player signed June 19 2017.,Quinnipiac University (Hamden CT),,Matthew Albert,battema01,
18,Brett Baty,22.277,Aug 17,,5,NYM,-0.3,6-3,210,L,R,Nov 13 1999,Round Rock TX US,Drafted by the New York Mets in the 1st round (12th pick) of the 2019 amateur draft. Player signed June 15 2019.,,Lake Travis HS (Austin TX),Brett Austin,batybr01,
19,Félix Bautista,26.294,Apr 10,,1,BAL,2.6,6-5,190,R,R,Jun 20 1995,Santo Domingo Distrito Nacional DO,Signed as a Free Agent with the Miami Marlins in 2012.,,,Félix Alexander,bautife01,
20,Brayan Bello,23.050,Jul 6,,1,BOS,0.4,6-1,170,R,R,May 17 1999,Samana Samana DO,Signed as a Free Agent with the Boston Red Sox in 2017.,,,Brayan,bellobr01,
21,Will Benson,24.046,Aug 1,,8/H97D,CLE,-0.3,6-5,230,L,L,Jun 16 1998,Atlanta GA US,Drafted by the Cleveland Indians in the 1st round (14th pick) of the 2016 amateur draft. Player signed June 17 2016.,,Westminster HS (Atlanta GA),William Buchanan,bensowi01,
