ID,teamID,yearID,lgID,divID,franchID,team_name,team_rank,team_G,team_G_home,team_W,team_L,DivWin,WCWin,LgWin,WSWin,team_R,team_AB,team_H,team_2B,team_3B,team_HR,team_BB,team_SO,team_SB,team_CS,team_HBP,team_SF,team_RA,team_ER,team_ERA,team_CG,team_SHO,team_SV,team_IPouts,team_HA,team_HRA,team_BBA,team_SOA,team_E,team_DP,team_FP,park_name,team_attendance,team_BPF,team_PPF
,ARI,2022,NL,W,ARI,Arizona Diamondbacks,4,162,81,74,88,N,N,N,N,702,5351,1232,262,24,173,531,1341,104,29,60,50,740,676,4.25,0,10,33,4290,1345,191,504,1216,86,134,0.985,Chase Field,1605199,98,99
,ATL,2022,NL,E,ATL,Atlanta Braves,1,162,80,101,61,Y,N,N,N,789,5509,1394,298,11,243,470,1498,87,31,66,36,609,556,3.46,1,9,55,4344,1224,148,500,1554,77,110,0.987,Truist Park,3129931,102,100
,BAL,2022,AL,E,BAL,Baltimore Orioles,4,162,81,83,79,N,N,N,N,674,5429,1281,275,25,171,476,1390,95,31,83,43,688,632,3.97,2,15,46,4299.3,1406,171,443,1214,91,151,0.985,Oriole Park at Camden Yards,1368367,102,103
,BOS,2022,AL,E,BOS,Boston Red Sox,5,162,81,78,84,N,N,N,N,735,5539,1427,352,12,155,478,1373,52,20,63,50,787,721,4.53,5,10,39,4293,1411,185,526,1346,85,134,0.985,Fenway Park II,2625089,108,108
,CHN,2022,NL,C,CHC,Chicago Cubs,3,162,81,74,88,N,N,N,N,657,5425,1293,265,31,159,507,1448,111,37,84,36,731,642,4,0,11,44,4329.6,1342,207,540,1383,96,139,0.984,Wrigley Field,2616780,100,101
,CHA,2022,AL,C,CHW,Chicago White Sox,2,162,81,81,81,N,N,N,N,686,5611,1435,272,9,149,388,1269,58,10,73,35,717,631,3.92,2,14,48,4341.6,1330,166,533,1450,102,122,0.982,Guaranteed Rate Field,2009359,103,102
,CIN,2022,NL,C,CIN,Cincinnati Reds,4,162,81,62,100,N,N,N,N,648,5380,1264,235,18,156,452,1430,58,33,92,33,815,768,4.86,1,6,31,4269.3,1366,213,612,1414,81,115,0.986,Great American Ball Park,1395770,110,110
,CLE,2022,AL,C,CLE,Cleveland Guardians,1,162,81,92,70,Y,N,N,N,698,5558,1410,273,31,127,450,1122,119,27,81,52,634,560,3.46,1,8,51,4368,1252,172,435,1390,97,127,0.984,Progressive Field,1295870,98,98
,COL,2022,NL,W,COL,Colorado Rockies,5,162,81,68,94,N,N,N,N,698,5540,1408,280,34,149,453,1330,45,20,61,40,873,802,5.06,1,6,43,4275.3,1516,184,539,1187,100,154,0.983,Coors Field,2597428,113,115
,DET,2022,AL,C,DET,Detroit Tigers,4,162,81,66,96,N,N,N,N,557,5378,1240,235,27,110,380,1413,47,24,58,44,713,637,4.04,0,8,38,4257.6,1336,167,511,1195,94,137,0.984,Comerica Park,1575544,96,97
,HOU,2022,AL,W,HOU,Houston Astros,1,162,81,106,56,Y,N,Y,Y,737,5409,1341,284,13,214,528,1179,83,22,60,42,518,465,2.9,3,18,53,4335.3,1121,134,458,1524,72,122,0.987,Minute Maid Park,2688998,101,99
,KCA,2022,AL,C,KCR,Kansas City Royals,5,162,81,65,97,N,N,N,N,640,5437,1327,247,38,138,460,1287,104,34,48,44,810,740,4.7,0,9,33,4248,1493,173,589,1191,82,153,0.986,Kauffman Stadium,1277686,103,105
,LAA,2022,AL,W,ANA,Los Angeles Angels,3,162,82,73,89,N,N,N,N,623,5423,1265,219,31,190,449,1539,77,27,54,25,668,601,3.77,2,17,38,4305.6,1241,168,540,1383,84,134,0.985,Angel Stadium of Anaheim,2457461,102,103
,LAN,2022,NL,W,LAD,Los Angeles Dodgers,1,162,81,111,51,Y,N,N,N,847,5526,1418,325,31,212,607,1374,98,18,56,53,513,451,2.8,1,15,43,4353.3,1114,152,407,1465,83,120,0.986,Dodger Stadium,3861408,106,103
,MIA,2022,NL,E,FLA,Miami Marlins,4,162,81,69,93,N,N,N,N,586,5395,1241,248,20,144,436,1429,122,29,70,36,676,617,3.86,6,10,41,4311.3,1311,173,511,1437,69,143,0.988,LoanDepot Park,907487,99,100
,MIL,2022,NL,C,MIL,Milwaukee Brewers,2,162,81,86,76,N,N,N,N,725,5417,1271,251,17,219,577,1464,96,30,80,37,688,615,3.83,0,11,52,4338,1238,190,521,1530,91,122,0.984,American Family Field,2422420,98,97
,MIN,2022,AL,C,MIN,Minnesota Twins,3,162,81,78,84,N,N,N,N,696,5476,1356,269,18,178,518,1353,38,17,62,46,684,636,3.98,0,17,28,4311,1320,184,468,1336,83,121,0.985,Target Field,1801128,98,99
,NYN,2022,NL,E,NYM,New York Mets,1,162,81,101,61,N,Y,N,N,772,5489,1422,272,27,171,510,1217,62,22,112,44,606,570,3.57,0,19,41,4314.6,1274,169,428,1565,67,128,0.988,Citi Field,2564737,96,95
,NYA,2022,AL,E,NYY,New York Yankees,1,162,81,99,63,Y,N,N,N,807,5422,1308,225,8,254,620,1391,102,33,70,41,567,532,3.3,1,16,47,4353.6,1177,157,444,1459,74,102,0.987,Yankee Stadium III,3136207,101,100
,OAK,2022,AL,W,OAK,Oakland Athletics,5,162,81,60,102,N,N,N,N,568,5314,1147,249,15,137,433,1389,78,23,59,33,770,717,4.52,0,7,34,4278.3,1394,195,503,1203,92,139,0.984,RingCentral Coliseum,787902,96,96
